2014-03-23 11:29:23 INFO  AsyncDownloadWebpageProcessor:57 - End download file into folder:62e07a81-42e7-49db-a245-f595a5bb7822 For url http://stackoverflow.com/questions/7436761/java-pass-by-reference-issue?rq=1
2014-03-23 11:29:23 INFO  AsyncDownloadWebpageProcessor:48 - Async Processor End for link: http://stackoverflow.com/questions/7436761/java-pass-by-reference-issue?rq=1
2014-03-23 11:29:25 INFO  AsyncDownloadWebpageProcessor:57 - End download file into folder:1e62d606-eb88-4bf6-a54a-a5452ff84ba9 For url https://developers.google.com/appengine/docs/quotas
2014-03-23 11:29:25 INFO  AsyncDownloadWebpageProcessor:48 - Async Processor End for link: https://developers.google.com/appengine/docs/quotas
2014-03-23 11:29:26 INFO  AsyncDownloadWebpageProcessor:57 - End download file into folder:21cbc9ec-7dd4-4edc-8144-11b188a7c130 For url http://www.dotnetperls.com/indexof
2014-03-23 11:29:26 INFO  AsyncDownloadWebpageProcessor:48 - Async Processor End for link: http://www.dotnetperls.com/indexof
2014-03-23 11:29:26 INFO  AsyncDownloadWebpageProcessor:57 - End download file into folder:a0d73070-3609-43ca-8446-d97f84d1e48c For url http://www.dotnetperls.com/arraylist
2014-03-23 11:29:26 INFO  AsyncDownloadWebpageProcessor:48 - Async Processor End for link: http://www.dotnetperls.com/arraylist
2014-03-23 11:29:31 INFO  AsyncDownloadWebpageProcessor:57 - End download file into folder:f847b17f-9ee1-48e9-a1e4-865ffad9cb5f For url http://stackoverflow.com/questions/40480/is-java-pass-by-reference
2014-03-23 11:29:31 INFO  AsyncDownloadWebpageProcessor:48 - Async Processor End for link: http://stackoverflow.com/questions/40480/is-java-pass-by-reference
2014-03-23 11:29:32 ERROR Crawler:263 - C:/Users/phan/AppData/Roaming/piarchiver/f3041039-6cfc-42e6-b648-596519a246b7\Resources\ : C:\Users\phan\AppData\Roaming\piarchiver\f3041039-6cfc-42e6-b648-596519a246b7\Resources (Access is denied) null [Ljava.lang.StackTraceElement;@2647db82
2014-03-23 11:29:32 INFO  AsyncDownloadWebpageProcessor:57 - End download file into folder:f3041039-6cfc-42e6-b648-596519a246b7 For url http://hcm.24h.com.vn/
2014-03-23 11:29:32 INFO  AsyncDownloadWebpageProcessor:48 - Async Processor End for link: http://hcm.24h.com.vn/
2014-03-23 11:29:54 ERROR Crawler:221 - C:/Users/phan/AppData/Roaming/piarchiver/e495eb61-d006-4755-982a-560248ba2d15\Resources\vdvietchu-9e7aa.flv.jpg : http://video-thumbs.vcmedia.vn//thumb_w/200/dantri/qePPb5vVAImhccccccccccccYx2D1Z/2014/02/vdvietchu-9e7aa.flv.jpg java.io.FileNotFoundException: http://video-thumbs.vcmedia.vn//thumb_w/200/dantri/qePPb5vVAImhccccccccccccYx2D1Z/2014/02/vdvietchu-9e7aa.flv.jpg [Ljava.lang.StackTraceElement;@680785f2
2014-03-23 11:29:55 ERROR Crawler:221 - C:/Users/phan/AppData/Roaming/piarchiver/e495eb61-d006-4755-982a-560248ba2d15\Resources\110557f353clip_2_thang_1_sub_.jpg allowscriptaccess= : Server returned HTTP response code: 400 for URL: http://video-thumbs.vcmedia.vn//thumb_w/200/dantri/vtfPRccccccccccccodZ9jyRizvm1t/2014/02/110557f353clip_2_thang_1_sub_.jpg allowscriptaccess= java.io.IOException: Server returned HTTP response code: 400 for URL: http://video-thumbs.vcmedia.vn//thumb_w/200/dantri/vtfPRccccccccccccodZ9jyRizvm1t/2014/02/110557f353clip_2_thang_1_sub_.jpg allowscriptaccess= [Ljava.lang.StackTraceElement;@52f02f06
2014-03-23 11:29:59 INFO  AsyncDownloadWebpageProcessor:57 - End download file into folder:02330398-5f87-4f44-8a51-f33e36d7234c For url http://dantri.com.vn/nhip-song-tre.htm
2014-03-23 11:29:59 INFO  AsyncDownloadWebpageProcessor:48 - Async Processor End for link: http://dantri.com.vn/nhip-song-tre.htm
2014-03-23 11:30:01 INFO  AsyncDownloadWebpageProcessor:57 - End download file into folder:e495eb61-d006-4755-982a-560248ba2d15 For url http://dantri.com.vn/giao-duc-khuyen-hoc.htm
2014-03-23 11:30:01 INFO  AsyncDownloadWebpageProcessor:48 - Async Processor End for link: http://dantri.com.vn/giao-duc-khuyen-hoc.htm
2014-03-23 11:30:03 INFO  AsyncDownloadWebpageProcessor:57 - End download file into folder:ba31215d-7ff2-4f9e-aefe-ad7bb27cbb34 For url http://dantri.com.vn/tam-long-nhan-ai.htm
2014-03-23 11:30:03 INFO  AsyncDownloadWebpageProcessor:48 - Async Processor End for link: http://dantri.com.vn/tam-long-nhan-ai.htm
2014-03-23 11:30:06 INFO  AsyncDownloadWebpageProcessor:57 - End download file into folder:850f782c-a376-41a2-9adb-d3dd648419b2 For url http://dantri.com.vn/nhip-song-tre/lo-diem-thi-ngat-nguong-huyen-chip-gay-bat-ngo-dan-mang-841320.htm
2014-03-23 11:30:06 INFO  AsyncDownloadWebpageProcessor:48 - Async Processor End for link: http://dantri.com.vn/nhip-song-tre/lo-diem-thi-ngat-nguong-huyen-chip-gay-bat-ngo-dan-mang-841320.htm
2014-03-23 11:30:08 INFO  AsyncDownloadWebpageProcessor:57 - End download file into folder:edd3ecad-23f4-4fdd-be98-63ce0e3ad45a For url http://dantri.com.vn/nhip-song-tre/nhung-tai-nan-do-khoc-do-cuoi-khi-sinh-vien-di-thuc-tap-841393.htm
2014-03-23 11:30:08 INFO  AsyncDownloadWebpageProcessor:48 - Async Processor End for link: http://dantri.com.vn/nhip-song-tre/nhung-tai-nan-do-khoc-do-cuoi-khi-sinh-vien-di-thuc-tap-841393.htm
